# Atom,RASPA epsilon,RASPA sigma
H_,0.354,180
H_b,0.46,83.5
He_,0.849,90
Li_,1.336,180
Be_,1.074,109.47
B_,0.838,109.47
C_,0.729,120
N_,0.7,106.7
O_,0.68,110
F_,0.668,180
Ne_,0.92,90
Na_,1.539,180
Mg_,1.421,109.47
Al_,1.244,109.47
Si_,1.117,109.47
P_,1.056,109.47
S_,1.077,92.2
Cl_,1.044,180
Ar_,1.032,90
K_,1.953,180
Ca_,1.761,90
Sc_,1.513,109.47
Ti_,1.412,109.47
V_,1.402,109.47
Cr_,1.345,90
Mn_,1.382,90
Fe_,1.27,109.47
Co_,1.241,90
Ni_,1.164,90
Cu_,1.302,109.47
Zn_,1.193,109.47
Ga_,1.26,109.47
Ge_,1.197,109.47
As_,1.211,92.1
Se_,1.19,90.6
Br_,1.192,180
Kr_,1.147,90
Rb_,2.26,180
Sr_,2.052,90
Y_,1.698,109.47
Zr_,1.564,109.47
Nb_,1.473,109.47
Mo_,1.467,90
Tc_,1.322,90
Ru_,1.478,90
Rh_,1.332,90
Pd_,1.338,90
Ag_,1.386,180
Cd_,1.403,109.47
In_,1.459,109.47
Sn_,1.398,109.47
Sb_,1.407,91.6
Te_,1.386,90.25
I_,1.382,180
Xe_,1.267,90
Cs_,2.57,180
Ba_,2.277,90
La_,1.943,109.47
Ce_,1.841,90
Pr_,1.823,90
Nd_,1.816,90
Pm_,1.801,90
Sm_,1.78,90
Eu_,1.771,90
Gd_,1.735,90
Tb_,1.732,90
Dy_,1.71,90
Ho_,1.696,90
Er_,1.673,90
Tm_,1.66,90
Yb_,1.637,90
Lu_,1.671,90
Hf_,1.611,109.47
Ta_,1.511,109.47
W_,1.526,109.47
Re_,1.372,90
Os_,1.372,90
Ir_,1.371,90
Pt_,1.364,90
Au_,1.262,90
Hg_,1.34,180
Tl_,1.518,120
Pb_,1.459,109.47
Bi_,1.512,90
Po_,1.5,90
At_,1.545,180
Rn_,1.42,90
Fr_,2.88,180
Ra_,2.512,90
Ac_,1.983,90
Th_,1.721,90
Pa_,1.711,90
U_,1.684,90
Np_,1.666,90
Pu_,1.657,90
Am_,1.66,90
Cm_,1.801,90
Bk_,1.761,90
Cf_,1.75,90
Es_,1.724,90
Fm_,1.712,90
Md_,1.689,90
No_,1.679,90
Lw_,1.698,90
